Date,QueryType,QueryTime
2021-11-24 08:16:17,1,1.45
2021-11-24 08:16:18,2,0.3
2021-11-24 08:16:20,2,0.26
2021-11-24 08:16:21,2,0.33
2021-11-24 08:16:23,3,0.26
2021-11-24 08:16:27,3,0.48
2021-11-24 08:16:28,3,0.31
2021-11-24 08:16:29,1,4.09
2021-11-24 08:16:30,2,0.24
2021-11-24 08:16:32,2,0.37
2021-11-24 08:16:34,3,0.25
2021-11-24 08:16:35,2,0.25
2021-11-24 08:16:38,1,1.42
2021-11-24 08:16:39,2,0.24
2021-11-24 08:16:40,2,0.26
2021-11-24 08:16:42,3,0.24
2021-11-24 08:16:45,1,1.41
2021-11-24 08:16:46,2,0.31
2021-11-24 08:16:49,3,0.25
2021-11-24 08:16:51,2,0.25
2021-11-24 08:16:51,1,4.1
2021-11-24 08:16:54,1,1.48
2021-11-24 08:16:55,1,1.48
2021-11-24 08:16:56,2,0.49
2021-11-24 08:16:58,2,0.24
2021-11-24 08:17:00,3,0.37
2021-11-24 08:17:02,1,1.39
2021-11-24 08:17:03,3,0.24
2021-11-24 08:17:06,1,1.49
2021-11-24 08:17:07,2,0.31
2021-11-24 08:17:09,1,1.4
2021-11-24 08:17:10,3,0.25
2021-11-24 08:17:12,2,0.3
2021-11-24 08:17:14,3,0.38
2021-11-24 08:17:17,2,0.4
2021-11-24 08:17:19,1,4.04
2021-11-24 08:17:20,1,1.48
2021-11-24 08:17:20,2,0.25
2021-11-24 08:17:22,3,0.25
2021-11-24 08:17:27,1,1.46
2021-11-24 08:17:28,1,4.04
2021-11-24 08:17:30,1,1.38
2021-11-24 08:17:31,1,4.07
2021-11-24 08:17:32,2,0.24
2021-11-24 08:17:34,3,0.26
2021-11-24 08:17:34,1,4.05
2021-11-24 08:17:38,3,0.27
2021-11-24 08:17:40,3,0.36
2021-11-24 08:17:40,1,4.06
2021-11-24 08:17:41,2,0.26
2021-11-24 08:17:43,2,0.31
2021-11-24 08:17:46,1,1.36
2021-11-24 08:17:46,2,0.26
2021-11-24 08:17:48,3,0.25
2021-11-24 08:17:50,2,0.44
